,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2021-08-13,2021-06-30,--,$0.00
1,2021-05-17,2021-03-31,--,$-0.11
2,2021-02-16,2020-12-31,--,$-0.02
3,2021-01-14,2020-09-30,--,$0.00
4,2020-08-14,2020-06-30,--,$-0.01
5,2020-05-15,2020-03-31,--,$-0.01
6,2020-04-20,2019-12-31,--,$0.01
7,2020-01-14,2019-09-30,--,$0.01
8,2019-08-14,2019-06-30,--,$0.00
9,2019-05-15,2019-03-31,--,$0.00
10,2019-02-19,2018-12-31,--,$0.00
11,2019-01-15,2018-09-30,--,$-0.20
12,2018-08-14,2018-06-30,--,$-0.15
13,2018-05-15,2018-03-31,--,$-0.15
14,2018-02-14,2017-12-31,--,$-0.15
15,2018-01-08,2017-09-30,--,$-0.25
16,2017-08-04,2017-06-30,--,$-0.15
17,2017-05-12,2017-03-31,--,$-0.30
18,2017-02-13,2016-12-31,$-0.15,$-0.20
19,2016-12-22,2016-09-30,--,$-0.15
20,2016-08-08,2016-06-30,--,$-0.25
21,2016-05-16,2016-03-31,--,$-0.20
22,2016-02-22,2015-12-31,--,$-0.10
23,2015-12-22,2015-09-30,--,$-0.10
