Date,Adj Close,Close,High,Low,Open,Volume,Volatility 20,Volatility 60,Range,TR,ATR,MACD,Signal Line,Change,RSI,RMI,MFI,CCI,ADX,OBOS,MVP,M past 60,MV past 60,MP past 60,MVP past 60,MVP Rating,VCP,Pivot breakout,Volume shrinking,FTD,DD,Multiple FTDs,Multiple DDs,SMA 5,EMA 5,Volume SMA 5,SMA 20,EMA 20,Volume SMA 20,SMA 50,EMA 50,Volume SMA 50,SMA 200,EMA 200,Volume SMA 200,MFI Mean,MFI SD,MFI Z-Score,RSI Mean,RSI SD,RSI Z-Score
2020-06-18,232.0656280517578,234.0,239.0,228.6000061035156,239.0,29789263,,,10.399993896484403,10.399993896484403,10.399993896484403,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,,234.0,,,234.0,,,234.0,,,234.0,,,,,,,
2020-06-19,231.66893005371097,233.6000061035156,235.6000061035156,233.3999938964844,234.0,7588265,,,2.200012207031193,2.200012207031193,9.30666300455731,-0.03190834501870654,-0.006381669003741309,-0.3999938964844034,,,,,,,,,,,,,False,False,False,False,False,False,False,,233.86666870117188,,,233.96190534319197,,,233.98431396484375,,,233.99601996122902,,,,,,,
2020-06-22,226.11521911621097,228.0,230.0,226.8000030517578,229.8000030517578,8716948,,,3.1999969482421875,6.800003051757784,8.972441677517374,-0.5032682663819799,-0.10575898847938901,-5.600006103515597,,,,,,,,,,,,,False,False,False,False,False,False,False,,231.91111246744794,,,233.39410483431655,,,233.74963498583028,,,233.93635807106756,,,,,,,
2020-06-23,228.09869384765625,230.0,231.6000061035156,226.0,227.0,5800950,,,5.600006103515597,5.600006103515597,8.522783600983804,-0.7072879396280314,-0.2260647787091175,2.0,,,,,,,,,,,,,False,False,False,False,False,False,False,,231.27407497829864,,,233.07085675485783,,,233.60259047658204,,,233.8971903290669,,,,,,,
2020-06-24,232.8590087890625,234.8000030517578,235.3999938964844,231.8000030517578,232.6000061035156,7307560,,,3.599990844726591,5.399993896484403,8.106411640383884,-0.47616592519767664,-0.27608500800682934,4.8000030517578125,,,,,,,,,,,,,False,False,False,False,False,False,False,232.0800018310547,232.44938433611838,11840597.2,,233.23553735456258,,,233.64954783247128,,,233.90617354023794,,,,,,,
2020-06-26,232.4623107910156,234.3999938964844,236.0,233.3999938964844,234.8000030517578,3147850,,,2.6000061035155966,2.6000061035155966,7.372224235468113,-0.3215705937974178,-0.28518212516494706,-0.4000091552734091,,,,,,,,,,,,,False,False,False,False,False,False,False,232.16000061035157,233.09958752290706,6512314.6,,233.34643797760276,,,233.67897708988357,,,233.9110871756235,,,,,,,
2020-06-29,227.90036010742188,229.8000030517578,232.1999969482422,228.1999969482422,232.0,4125307,,,4.0,6.199996948242216,7.215927263837993,-0.5637351098717147,-0.3408927221063006,-4.599990844726591,,,,,,,,,,,,,False,False,False,False,False,False,False,231.4,231.999726032524,5819723.0,,233.00868227037944,,,233.52686046093748,,,233.8701808659333,,,,,,,
2020-06-30,229.88380432128903,231.8000030517578,232.8000030517578,228.3999938964844,231.1999969482422,2175206,,,4.400009155273409,4.400009155273409,6.840471516029382,-0.5874966525524883,-0.3902135081955382,2.0,,,,,,,,,,,,,False,False,False,False,False,False,False,232.16000061035157,231.93315170560194,4511374.6,,232.89356996384404,,,233.4591405625383,,,233.84958208171264,,,,,,,
2020-07-02,233.85073852539065,235.8000030517578,235.8000030517578,231.3999938964844,232.3999938964844,4620079,,,4.400009155273409,4.400009155273409,6.515076534595252,-0.2803298081849448,-0.36823676819341955,4.0,,,,,,,,,,,,,False,False,False,False,False,False,False,233.32000122070312,233.22210215432057,4275200.4,,233.17037311507391,,,233.5509390915273,,,233.86898925554394,,,,,,,
2020-07-03,233.6523895263672,235.6000061035156,236.8000030517578,234.3999938964844,236.1999969482422,4343783,,,2.400009155273409,2.400009155273409,5.966400884019007,-0.05243155495693941,-0.30507572554612356,-0.19999694824221592,,,,,,,,,,,,,True,True,True,False,False,False,False,233.4800018310547,234.01473680405226,3682445.0,,233.40176673302074,,,233.6312946606249,,,233.88621330378248,,,,,,,
