Ticker,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
WGS,100.0,621820.0,730625.0,2256.0,1936.0
SEZL,99.98417220639443,213280.0,123235.0,3350.0,3788.0
DRUG,99.96834441278885,469600.0,9399925.0,2569.0,203.0
EMP,99.95251661918329,1788423.8,1550835.95,1143.0,1148.0
FTEL,99.93668882557772,78280.0,124305.0,4209.0,3781.0
LENZ,99.92086103197214,218220.0,177760.0,3334.0,3449.0
NXL,99.90503323836657,1462940.0,4203285.0,1338.0,450.0
SMMT,99.889205444761,1924340.0,2396600.0,1067.0,772.0
LBPH,99.87337765115542,945160.0,3777330.0,1787.0,496.0
DOGZ,99.85754985754986,86760.0,108035.0,4124.0,3915.0
ATER,99.84172206394429,45160.0,37370.0,4646.0,4772.0
BBLGW,99.82589427033871,20.0,285.0,6234.0,6240.0
SLNHP,99.81006647673314,18880.0,61720.0,5235.0,4370.0
DAVE,99.79423868312757,680360.0,435475.0,2154.0,2524.0
RNA,99.778410889522,1081820.0,822470.0,1643.0,1807.0
WULF,99.76258309591643,28725840.0,30813965.0,55.0,40.0
JANX,99.74675530231086,771360.0,699265.0,2019.0,1974.0
ROOT,99.73092750870529,1173140.0,1264925.0,1553.0,1354.0
ASPI,99.71509971509973,5031680.0,7352750.0,433.0,258.0
SMR,99.69927192149414,12121540.0,15842495.0,166.0,104.0
MNPR,99.68344412788858,264500.0,1449045.0,3151.5,1216.0
SGMO,99.66761633428301,12529280.0,14462435.0,160.0,116.0
LUMN,99.65178854067743,31222600.0,19427275.0,48.0,80.0
APP,99.63596074707186,9550280.0,5005620.0,232.0,387.0
CVNA,99.6201329534663,2733980.0,3381400.0,759.0,552.0
AEYE,99.60430515986071,240740.0,168920.0,3223.5,3488.0
CAPR,99.58847736625515,981880.0,1754765.0,1742.0,1026.0
VKTX,99.57264957264957,10371260.0,5658305.0,208.0,350.0
RAIL,99.556821779044,572980.0,428510.0,2341.0,2544.0
LASE,99.54099398543843,439020.0,998040.0,2643.0,1596.0
ADMA,99.52516619183285,5044880.0,4133060.0,432.0,457.0
NAMSW,99.50933839822729,19600.0,5880.0,5207.0,5853.0
VSSYW,99.49351060462172,9260.0,70835.0,5615.0,4272.0
CRVS,99.47768281101614,1186240.0,1045155.0,1542.0,1550.0
EWTX,99.46185501741057,958120.0,842335.0,1773.0,1784.0
INSG,99.446027223805,200080.0,172775.0,3412.0,3478.0
WLGS,99.43019943019942,83840.0,284750.0,4159.0,2992.0
AGBA,99.41437163659386,1329694.0,664691.65,1431.0,2056.0
MSTR,99.39854384298829,20069580.0,20846825.0,81.0,70.0
SKGRW,99.38271604938271,19860.0,17155.0,5200.5,5318.5
RZLT,99.36688825577714,401520.0,432665.0,2740.0,2530.0
ASTS,99.35106046217157,10516000.0,10462230.0,201.0,173.0
EBS,99.335232668566,2260800.0,1411420.0,913.0,1239.0
PRAX,99.31940487496043,527600.0,307345.0,2439.0,2907.0
NGNE,99.30357708135486,402440.0,177670.0,2736.0,3450.0
NEON,99.28774928774928,179660.0,175820.0,3516.0,3464.0
SUPV,99.27192149414371,1434760.0,1174285.0,1364.0,1440.0
INOD,99.25609370053814,2617080.0,1017950.0,791.0,1568.0
CORZ,99.24026590693258,14462860.0,11647770.0,125.0,156.0
ARQT,99.22443811332701,3764180.0,2178075.0,572.0,843.0
CRBP,99.20861031972143,439100.0,373810.0,2642.0,2688.0
NRIX,99.19278252611586,1619600.0,961860.0,1228.0,1638.0
ADCT,99.1769547325103,452380.0,325320.0,2610.0,2851.0
KINS,99.16112693890472,173600.0,162310.0,3554.0,3516.0
CADL,99.14529914529915,262560.0,247255.0,3158.0,3122.0
GTHX,99.12947135169358,1871998.8,1504395.9,1093.0,1175.0
HYLN,99.113643558088,1065820.0,804330.0,1655.0,1836.0
SPRY,99.09781576448243,1040440.0,977165.0,1682.0,1618.0
AENT,99.08198797087687,69740.0,94065.0,4309.5,4044.0
CAVA,99.06616017727129,1834440.0,1755350.0,1111.0,1025.0
IESC,99.05033238366572,154100.0,112735.0,3652.0,3881.0
MBRX,99.03450459006015,28480.0,22600.0,4982.0,5135.0
GGAL,99.01867679645457,1053640.0,921550.0,1668.0,1688.0
PRM,99.002849002849,1009540.0,599985.0,1715.0,2172.0
WLFC,98.98702120924344,114060.0,65465.0,3915.0,4327.0
OCUL,98.97119341563786,929160.0,1108290.0,1805.0,1494.0
NNE,98.95536562203229,3848100.0,6311065.0,553.0,306.0
NISN,98.93953782842672,158080.0,133970.0,3632.0,3715.0
APLT,98.92371003482114,1945260.0,1663875.0,1050.0,1073.0
REAX,98.90788224121557,1162260.0,645060.0,1565.0,2085.0
ZETA,98.89205444761001,4441740.0,3697405.0,489.0,506.0
AMSC,98.87622665400443,2040420.0,1407085.0,1000.0,1243.0
POWL,98.86039886039886,429280.0,368600.0,2666.0,2707.0
VERA,98.84457106679328,1054600.0,1082515.0,1666.0,1520.0
SG,98.82874327318771,5296080.0,3144790.0,414.0,593.0
BMA,98.81291547958214,311440.0,242455.0,3000.0,3150.0
TIL,98.79708768597656,153680.0,142300.0,3656.0,3644.0
VST,98.781259892371,9853500.0,6983580.0,218.0,269.0
SYRE,98.76543209876543,465060.0,442530.0,2583.0,2509.0
SOUN,98.74960430515986,35219340.0,28239540.0,40.0,52.0
CDXC,98.7337765115543,1985020.0,2576370.0,1033.0,711.0
HROW,98.71794871794873,426320.0,518915.0,2678.0,2317.0
DXYZ,98.70212092434315,7342040.0,2177130.0,295.0,844.0
TPC,98.68629313073758,594840.0,449865.0,2306.0,2478.0
ELDN,98.670465337132,363180.0,912265.0,2843.0,1695.0
SWVL,98.65463754352643,28300.0,22075.0,4987.5,5152.0
JVA,98.63880974992087,86020.0,77650.0,4133.0,4194.0
ESGL,98.62298195631529,3380.0,10190.0,5933.0,5635.0
FTAI,98.60715416270972,1422180.0,1222090.0,1370.0,1388.0
AVAH,98.59132636910415,443100.0,267085.0,2631.0,3048.0
PLSE,98.57549857549857,173320.0,142430.0,3558.0,3643.0
PSNL,98.559670781893,1229760.0,683735.0,1513.0,2006.0
RCAT,98.54384298828744,1039640.0,1305775.0,1683.0,1317.0
ZJYL,98.52801519468186,240400.0,408035.0,3227.0,2586.0
PRCH,98.51218740107629,4530640.0,3039290.0,477.0,607.0
PDYN,98.49635960747072,282260.0,280280.0,3102.0,3009.0
UPST,98.48053181386514,13908800.0,8654875.0,132.0,222.0
CLOV,98.46470402025957,12450720.0,8414925.0,163.0,226.0
APGE,98.44887622665401,524560.0,347910.0,2445.0,2780.0
FLXS,98.43304843304843,41800.0,39495.0,4711.0,4728.0
BBAR,98.41722063944286,1201200.0,822565.0,1530.0,1806.0
CDNA,98.4013928458373,1109200.0,953505.0,1618.0,1649.0
TKNO,98.38556505223171,357300.0,302280.0,2859.0,2927.0
LNSR,98.36973725862615,67760.0,47775.0,4333.0,4582.0
HNST,98.35390946502058,1909020.0,1814225.0,1072.0,993.0
ALAR,98.338081671415,245760.0,501110.0,3212.0,2362.0
HOOD,98.32225387780943,25008900.0,18213180.0,60.0,90.0
AIHS,98.30642608420386,2780.0,20545.0,5972.0,5197.0
SMTC,98.29059829059828,1124180.0,1121345.0,1605.0,1481.0
RDW,98.27477049699272,531060.0,477215.0,2431.0,2418.0
SFM,98.25894270338715,1494800.0,1415585.0,1316.0,1237.0
CRMD,98.24311490978158,1413180.0,1576660.0,1374.0,1126.0
USLM,98.22728711617602,127640.0,80235.0,3798.0,4170.0
IREN,98.21145932257043,16686160.0,18528620.0,106.0,86.0
ARQ,98.19563152896487,367940.0,206940.0,2827.0,3298.0
BYRN,98.1798037353593,493000.0,442140.0,2520.0,2510.0
VHI,98.16397594175372,33820.0,25570.0,4865.0,5064.0
AGX,98.14814814814815,360120.0,373790.0,2847.0,2689.0
EVGOW,98.13232035454259,118100.0,127760.0,3874.0,3760.0
MESO,98.116492560937,123880.0,145615.0,3829.0,3624.0
DCTH,98.10066476733144,466340.0,418025.0,2576.0,2567.0
SNCR,98.08483697372587,88240.0,73415.0,4115.0,4238.0
WAVE,98.06900918012029,71940.0,122400.0,4272.0,3800.0
BLND,98.05318138651472,3305920.0,1988040.0,650.0,911.0
CLSK,98.03735359290914,27073280.0,33000405.0,56.0,34.0
GATO,98.02152579930357,492080.0,682610.0,2523.0,2008.0
CLS,98.00569800569801,2931500.0,2836265.0,708.0,648.0
CENX,97.98987021209243,2104560.0,1190540.0,974.0,1424.0
SERA,97.97404241848686,151980.0,73365.0,3664.5,4239.0
EAT,97.9582146248813,1454580.0,1528810.0,1346.0,1158.0
OMER,97.94238683127571,302500.0,217800.0,3037.5,3245.0
TLSIW,97.92655903767015,4000.0,2315.0,5887.5,6056.0
ZIM,97.91073124406458,4848540.0,4938880.0,446.0,394.0
HIMS,97.894903450459,25681520.0,14269205.0,58.0,119.0
ANNX,97.87907565685343,2022820.0,1239990.0,1011.0,1371.0
CURI,97.86324786324786,398120.0,348590.0,2748.0,2778.0
CCCC,97.84742006964228,1452540.0,838215.0,1348.0,1793.0
AQST,97.83159227603672,2118740.0,1542225.0,968.0,1150.0
NOVV,97.81576448243115,0.0,0.0,6278.5,6304.5
COMP,97.79993668882557,5795980.0,4543890.0,375.0,423.0
EUDA,97.78410889522,63840.0,56880.0,4379.0,4443.5
NTRA,97.76828110161443,925660.0,883560.0,1814.0,1725.0
LMB,97.75245330800887,225220.0,140480.0,3297.0,3658.0
HIPO,97.7366255144033,280900.0,161100.0,3106.0,3525.0
PCT,97.72079772079772,3352520.0,3560795.0,638.0,525.0
RYAM,97.70496992719215,1148080.0,698815.0,1579.0,1976.0
AKA,97.68914213358659,7700.0,7655.0,5693.5,5765.0
CXDO,97.673314339981,219300.0,164175.0,3329.0,3512.0
LRMR,97.65748654637544,1088680.0,720855.0,1639.0,1948.0
KYMR,97.64165875276987,414540.0,377830.0,2696.0,2683.0
COHR,97.62583095916429,4041760.0,2615040.0,530.0,700.0
SKYE,97.61000316555872,198020.0,228575.0,3422.0,3200.0
CRDO,97.59417537195316,2628580.0,2368110.0,785.0,782.0
NVDA,97.57834757834758,194534160.0,223614710.0,3.0,1.0
PLTR,97.56251978474201,120752780.0,58890510.0,8.0,13.0
POET,97.54669199113644,1233980.0,1157070.0,1506.0,1453.0
MNMD,97.53086419753086,2346040.0,1107075.0,887.0,1496.0
APEI,97.5150364039253,123240.0,94355.0,3834.0,4039.0
EDN,97.49920861031973,236200.0,201855.0,3247.0,3332.0
VRT,97.48338081671415,5736560.0,6701030.0,380.0,284.0
TVTX,97.46755302310858,1733640.0,1394220.0,1178.0,1253.0
LUNR,97.45172522950301,14038360.0,10999170.0,130.0,165.0
CANG,97.43589743589743,373480.0,196375.0,2816.0,3364.0
BVS,97.42006964229186,979660.0,476390.0,1744.0,2424.0
RKLB,97.4042418486863,13495260.0,13005170.0,142.0,137.0
INSM,97.38841405508072,1490700.0,1218565.0,1317.0,1392.0
ML,97.37258626147515,445000.0,220710.0,2626.0,3232.0
TREE,97.35675846786958,439720.0,321660.0,2639.0,2861.0
COIN,97.340930674264,18157900.0,13862690.0,94.0,126.0
JSPR,97.32510288065843,254480.0,412070.0,3186.0,2580.0
DYN,97.30927508705285,1001060.0,847835.0,1724.0,1778.0
BFLY,97.29344729344729,5146060.0,2825585.0,422.0,652.0
AIRG,97.27761949984172,27640.0,34400.0,5006.0,4836.0
THC,97.26179170623615,1550520.0,1415870.0,1271.0,1236.0
BNTC,97.24596391263059,32860.0,36730.0,4888.0,4786.0
PRCT,97.23013611902502,985520.0,1227140.0,1739.0,1383.0
MOD,97.21430832541944,865820.0,764970.0,1883.0,1891.0
STOK,97.19848053181387,485400.0,399600.0,2534.0,2609.0
MIGI,97.1826527382083,548600.0,486195.0,2390.0,2393.0
COMM,97.16682494460272,8886320.0,4938055.0,248.0,395.0
ABSI,97.15099715099716,1035580.0,901420.0,1686.0,1706.0
TARS,97.13516935739158,1023800.0,970050.0,1699.0,1627.0
PI,97.11934156378601,633840.0,655410.0,2244.0,2073.0
SRTS,97.10351377018044,82160.0,81150.0,4175.0,4156.0
